Day,2014,2015,2016,2017,2018
,,0.0,0.14285714285714285,0.42857142857142855,0.02040816326530612
,,0.0,0.7551020408163265,0.5510204081632653,0.42857142857142855
,,0.0,0.6326530612244898,0.673469387755102,0.46938775510204084
04-18,,0.02040816326530612,0.0,0.8163265306122449,0.0
,,0.0,0.0,0.4897959183673469,0.0
,,0.02040816326530612,0.0,0.5714285714285714,0.4897959183673469
,,0.0,0.0,0.7551020408163265,0.20408163265306123
02-24,,0.1836734693877551,0.12244897959183673,0.0,0.1836734693877551
,,1.0,0.22448979591836735,0.0,0.1836734693877551
,,0.8163265306122449,0.6938775510204082,1.0,0.3673469387755102
,,1.0,0.0,1.0,0.02040816326530612
07-30,,0.5714285714285714,0.6530612244897959,0.9183673469387755,0.16326530612244897
,,,0.3673469387755102,0.42857142857142855,0.08163265306122448
,,0.7346938775510204,0.0,0.7755102040816326,0.5714285714285714
,,1.0,0.8979591836734694,0.8979591836734694,0.32653061224489793
11-29,,0.12244897959183673,0.8367346938775511,1.0,0.32653061224489793
,,0.3877551020408163,0.8163265306122449,0.9795918367346939,0.1836734693877551
,,0.04081632653061224,0.02040816326530612,0.9183673469387755,0.02040816326530612
,,0.8163265306122449,0.08163265306122448,0.7959183673469388,0.08163265306122448
03-11,,1.0,0.9795918367346939,0.40816326530612246,0.4897959183673469
,,0.42857142857142855,0.30612244897959184,0.6326530612244898,0.4897959183673469
,,1.0,0.32653061224489793,0.7755102040816326,0.0
,,1.0,0.4897959183673469,0.7551020408163265,0.0
10-15,,1.0,0.0,0.7551020408163265,0.0
,,1.0,0.5102040816326531,0.2653061224489796,0.16326530612244897
,,0.5102040816326531,1.0,0.061224489795918366,0.0
,,0.5102040816326531,1.0,0.02040816326530612,0.04081632653061224
07-06,,0.12244897959183673,0.9183673469387755,0.7551020408163265,0.40816326530612246
,,0.8979591836734694,0.02040816326530612,,0.5306122448979592
,,0.061224489795918366,0.14285714285714285,0.8979591836734694,0.5714285714285714
,,0.0,1.0,0.10204081632653061,0.2857142857142857
12-14,,0.9591836734693877,0.0,0.3877551020408163,0.673469387755102
,,0.8163265306122449,1.0,0.9591836734693877,0.7346938775510204
,,0.32653061224489793,1.0,0.8775510204081632,0.3877551020408163
,,0.6938775510204082,1.0,0.8367346938775511,0.0
12-22,,0.673469387755102,0.40816326530612246,0.6326530612244898,0.5918367346938775
,,0.3469387755102041,0.02040816326530612,0.10204081632653061,0.5918367346938775
,,0.6530612244897959,0.0,0.32653061224489793,0.6122448979591837
,,0.6530612244897959,1.0,0.0,0.5306122448979592
01-13,,0.0,0.673469387755102,0.7346938775510204,0.4897959183673469
,,0.08163265306122448,0.8367346938775511,0.673469387755102,0.5714285714285714
,,0.0,0.6122448979591837,0.5918367346938775,0.061224489795918366
,,0.673469387755102,0.42857142857142855,0.8163265306122449,0.1836734693877551
11-16,,0.5714285714285714,0.7142857142857143,0.5510204081632653,0.1836734693877551
,,0.6530612244897959,0.46938775510204084,0.6122448979591837,0.5918367346938775
,,0.6326530612244898,1.0,0.32653061224489793,0.32653061224489793
,,0.5918367346938775,0.6122448979591837,0.42857142857142855,0.2653061224489796
10-31,,0.24489795918367346,0.9591836734693877,0.7142857142857143,0.02040816326530612
,,0.5102040816326531,0.6122448979591837,0.7346938775510204,0.0
,,0.061224489795918366,0.8163265306122449,0.7346938775510204,0.3673469387755102
,,0.12244897959183673,0.32653061224489793,0.7959183673469388,0.0
11-20,,0.7142857142857143,,0.6326530612244898,0.0
,,0.6938775510204082,0.02040816326530612,0.3673469387755102,0.08163265306122448
,,0.6326530612244898,0.2653061224489796,0.7959183673469388,0.16326530612244897
,,0.0,0.16326530612244897,0.6530612244897959,0.08163265306122448
04-16,,0.4897959183673469,0.0,0.6530612244897959,0.0
,,0.5714285714285714,0.5918367346938775,0.5714285714285714,0.0
,,0.6530612244897959,0.7551020408163265,0.5306122448979592,0.0
,,0.2857142857142857,0.24489795918367346,0.7551020408163265,0.14285714285714285
05-03,,0.24489795918367346,0.3469387755102041,0.40816326530612246,0.0
,,0.5510204081632653,0.3673469387755102,0.10204081632653061,0.6530612244897959
,,0.2857142857142857,0.3469387755102041,0.0,0.0
,,0.30612244897959184,0.14285714285714285,0.02040816326530612,0.0
04-28,,0.5918367346938775,0.10204081632653061,0.4489795918367347,0.0
,,0.5918367346938775,0.02040816326530612,0.40816326530612246,0.0
,,0.9183673469387755,0.24489795918367346,0.5102040816326531,0.04081632653061224
,,0.6938775510204082,0.32653061224489793,0.2857142857142857,0.0
02-18,,0.5102040816326531,0.24489795918367346,0.30612244897959184,0.04081632653061224
,,0.46938775510204084,0.1836734693877551,0.0,0.08163265306122448
,,0.16326530612244897,0.14285714285714285,0.0,0.04081632653061224
,,0.0,0.0,0.0,0.08163265306122448
10-27,,0.22448979591836735,0.32653061224489793,0.08163265306122448,0.10204081632653061
,,0.5714285714285714,0.10204081632653061,0.0,0.0
,,0.30612244897959184,0.12244897959183673,0.24489795918367346,0.0
,,0.0,0.0,0.061224489795918366,0.02040816326530612
11-09,,0.12244897959183673,0.24489795918367346,0.061224489795918366,0.061224489795918366
,,0.2653061224489796,0.24489795918367346,0.12244897959183673,0.10204081632653061
,,0.0,0.20408163265306123,0.8163265306122449,0.061224489795918366
,,0.10204081632653061,0.0,0.061224489795918366,0.0
03-25,,0.0,0.20408163265306123,0.0,0.02040816326530612
,,0.04081632653061224,0.4489795918367347,0.32653061224489793,0.0
,,0.5918367346938775,0.2857142857142857,0.40816326530612246,0.08163265306122448
,,0.0,0.2653061224489796,0.46938775510204084,0.0
05-16,,0.3877551020408163,0.0,0.32653061224489793,0.0
,,0.30612244897959184,0.02040816326530612,0.04081632653061224,0.02040816326530612
,,0.7142857142857143,0.04081632653061224,0.12244897959183673,0.0
,,0.0,0.0,0.10204081632653061,0.0
10-21,,0.061224489795918366,0.12244897959183673,0.08163265306122448,0.02040816326530612
,,0.12244897959183673,0.0,0.22448979591836735,0.0
,,0.08163265306122448,0.24489795918367346,0.12244897959183673,0.061224489795918366
,,0.24489795918367346,0.04081632653061224,0.04081632653061224,0.02040816326530612
10-17,,0.10204081632653061,0.08163265306122448,0.12244897959183673,0.02040816326530612
,,0.061224489795918366,0.16326530612244897,0.16326530612244897,0.0
,,0.0,0.02040816326530612,0.10204081632653061,0.02040816326530612
,,0.30612244897959184,0.08163265306122448,0.24489795918367346,0.061224489795918366
10-04,,0.2653061224489796,0.16326530612244897,0.08163265306122448,0.061224489795918366
,,0.1836734693877551,0.061224489795918366,0.0,0.02040816326530612
,,0.0,0.08163265306122448,0.02040816326530612,0.061224489795918366
,,0.0,0.16326530612244897,0.02040816326530612,0.0
10-06,,0.08163265306122448,0.08163265306122448,0.42857142857142855,0.0
,,0.08163265306122448,0.02040816326530612,0.20408163265306123,0.04081632653061224
,,0.02040816326530612,0.0,0.24489795918367346,0.061224489795918366
,,0.0,0.08163265306122448,0.0,0.04081632653061224
12-15,,0.0,0.22448979591836735,0.0,0.0
,,0.10204081632653061,0.061224489795918366,0.061224489795918366,0.04081632653061224
,,0.08163265306122448,0.061224489795918366,0.12244897959183673,0.0
,,0.061224489795918366,0.02040816326530612,0.061224489795918366,0.061224489795918366
03-24,,0.061224489795918366,0.061224489795918366,0.0,0.02040816326530612
,,0.061224489795918366,0.02040816326530612,0.08163265306122448,0.061224489795918366
,,0.0,0.02040816326530612,0.02040816326530612,0.12244897959183673
,,0.20408163265306123,0.02040816326530612,0.0,0.0
12-23,,0.04081632653061224,0.08163265306122448,0.14285714285714285,0.0
,,0.02040816326530612,0.04081632653061224,0.0,0.0
,,0.0,0.02040816326530612,0.04081632653061224,0.0
,,0.20408163265306123,0.02040816326530612,0.061224489795918366,0.02040816326530612
12-16,,0.30612244897959184,0.061224489795918366,0.02040816326530612,0.02040816326530612
,,0.02040816326530612,0.0,0.061224489795918366,0.0
,,0.16326530612244897,0.0,0.061224489795918366,0.0
,,0.16326530612244897,0.02040816326530612,0.3469387755102041,0.12244897959183673
02-26,,0.08163265306122448,0.02040816326530612,0.061224489795918366,0.061224489795918366
,,,,0.08163265306122448,0.0
,,0.14285714285714285,0.0,0.0,0.12244897959183673
,,0.0,0.061224489795918366,0.0,0.0
11-27,,0.02040816326530612,0.0,0.061224489795918366,0.0
,,0.04081632653061224,0.0,0.061224489795918366,0.0
,,0.061224489795918366,0.0,0.20408163265306123,0.0
,,0.02040816326530612,0.0,0.02040816326530612,0.0
02-06,,0.061224489795918366,0.0,0.0,0.0
,,0.0,0.0,0.061224489795918366,0.0
,,0.061224489795918366,0.0,0.16326530612244897,0.0
,,0.2857142857142857,0.02040816326530612,0.0,0.0
02-26,,0.061224489795918366,0.04081632653061224,0.0,0.0
,,0.12244897959183673,0.0,0.0,0.0
,,0.02040816326530612,0.0,0.02040816326530612,0.0
,,0.02040816326530612,0.0,0.02040816326530612,0.0
02-09,,0.0,0.0,0.0,0.0
,,0.061224489795918366,0.0,0.0,0.0
,,0.02040816326530612,0.0,0.0,0.0
,,0.02040816326530612,0.0,0.0,0.0
01-29,,0.04081632653061224,0.061224489795918366,0.02040816326530612,0.0
,,0.10204081632653061,0.0,0.0,0.0
,,0.02040816326530612,0.0,0.02040816326530612,0.0
,,,0.0,0.0,0.0
01-07,,0.16326530612244897,0.02040816326530612,0.02040816326530612,0.0
,,0.0,0.0,0.02040816326530612,0.0
,,0.0,0.0,0.02040816326530612,0.0
,,0.0,0.0,0.16326530612244897,0.0
04-02,,0.0,0.0,0.12244897959183673,0.0
,,0.0,0.0,0.0,0.0
,,0.02040816326530612,0.02040816326530612,0.0,0.04081632653061224
,,0.0,0.0,0.12244897959183673,0.08163265306122448
04-17,,0.0,0.0,,0.02040816326530612
,,0.0,,,0.04081632653061224
,,0.0,,,0.12244897959183673
,,0.0,,,0.0
06-05,,0.0,,,0.04081632653061224
,,0.0,,,0.02040816326530612
,,,,,0.12244897959183673
,,0.0,,,0.14285714285714285
10-26,,0.02040816326530612,,,0.0
,,0.0,,,0.0
,,0.0,,,0.14285714285714285
,,0.0,,,0.24489795918367346
02-13,,0.0,,,0.32653061224489793
,,0.0,,,0.12244897959183673
,,0.0,,,0.04081632653061224
,,0.02040816326530612,,,0.04081632653061224
11-03,,0.0,,,0.0
,,0.0,,,0.3469387755102041
,,0.0,,,0.04081632653061224
,,0.0,,,0.3673469387755102
02-23,,0.0,,,0.14285714285714285
,,0.0,,,0.02040816326530612
,,,,,0.16326530612244897
,,0.0,,,0.0
12-23,,0.0,,,0.0
,,0.02040816326530612,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
04-22,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
12-09,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
06-16,,0.0,,,0.0
,,0.0,,,1.0
,,0.0,,,0.0
,,0.0,,,0.0
02-06,,0.0,,,0.0
,,0.0,,,1.0
,,0.0,,,0.0
,,0.0,,,0.0
12-23,,0.0,,,0.0
,,0.10204081632653061,,,0.0
,,0.0,,,0.0
,,,,,0.0
11-27,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
05-16,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
12-10,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
,,0.0,,,0.0
03-14,,0.0,,,0.0
,,,,,0.04081632653061224
,,,,,0.20408163265306123
,,,,,0.0
10-31,,,,,0.0
,,,,,0.0
,,,,,1.0
,,,,,0.0
03-02,,,,,0.12244897959183673
,,,,,0.0
,,,,,0.0
,,,,,0.0
03-17,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,1.0
04-23,,,,,1.0
,,,,,1.0
,,,,,0.0
,,,,,0.0
03-27,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
05-20,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
01-26,,,,,0.0
,,,,,0.0
,,,,,0.0
,,,,,0.0
,0.0,0.0,,0.0,
,0.04081632653061224,0.0,0.0,0.0,
10-18,0.0,0.0,0.0,0.0,
